payload,label,label_str,predicted,predicted_str,proba_benign,proba_sqli,proba_xss,source,fp_group
http://localhost:8080/tienda1/publico/autenticar.jsp modo=entrar&login=yu&pwd=e5a9t7&remember=on&B1=Entrar,2,benign,0,sqli,0.0035444646749038327,0.9964555353250962,0.0,normalTrafficTest.txt,uncategorized
http://localhost:8080/tienda1/publico/autenticar.jsp modo=entrar&login=ku&pwd=28177i6sA&remember=on&B1=Entrar,2,benign,0,sqli,0.00870950400402432,0.9912904959959757,0.0,normalTrafficTraining.txt,param_numeric
http://localhost:8080/tienda1/publico/caracteristicas.jsp id=1,2,benign,0,sqli,0.021573042441029047,0.978426957558971,0.0,normalTrafficTraining.txt,param_numeric
http://localhost:8080/tienda1/global/estilos.css,2,benign,0,sqli,0.02177343942674652,0.9782265605732535,0.0,normalTrafficTraining.txt,uncategorized
http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=masako&pwd=en?7IdiA62E&remember=off&B1=Entrar,2,benign,0,sqli,0.04496046601039614,0.955039533989604,0.0,normalTrafficTest.txt,uncategorized
http://localhost:8080/tienda1/publico/autenticar.jsp modo=entrar&login=hy&pwd=aP-remiAdOra&remember=on&B1=Entrar,2,benign,0,sqli,0.07578894976934067,0.9242110502306597,0.0,normalTrafficTraining.txt,uncategorized
http://localhost:8080/tienda1/publico/autenticar.jsp modo=entrar&login=masako&pwd=en?7IdiA62E&remember=off&B1=Entrar,2,benign,0,sqli,0.09190100427789073,0.9080989957221093,0.0,normalTrafficTest.txt,uncategorized
http://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=Vino Rioja&precio=100&cantidad=0&B1=A�adir al carrito,2,benign,0,sqli,0.09368111727366382,0.9063188827263362,0.0,normalTrafficTraining.txt,param_numeric
http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=anne-lis&pwd=ar4s5�9&remember=on&B1=Entrar,2,benign,0,sqli,0.15015429198696678,0.8498457080130334,0.0,normalTrafficTest.txt,uncategorized
http://localhost:8080/tienda1/publico/autenticar.jsp modo=entrar&login=o.neil&pwd=6A0atO&remember=off&B1=Entrar,2,benign,0,sqli,0.15615680660671882,0.8438431933932814,0.0,normalTrafficTraining.txt,param_numeric
"http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=orazio&password=a24030Dor4&nombre=Kari&apellidos=Ab�s Hosta&email=lax@g-audi.nu&dni=01116944H&direccion=Avda. De Pablo Iglesias, S/N 2?G&ciudad=Castell�n de la Plana/Castell� de la Plana&cp=37740&provincia=Almer�a&ntc=6966776615880147&B1=Registrar",2,benign,0,sqli,0.1652341500790723,0.8347658499209277,0.0,normalTrafficTraining.txt,param_numeric
http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=centeno&pwd=b�ho&remember=off&B1=Entrar,2,benign,0,sqli,0.17149311816096263,0.8285068818390374,0.0,normalTrafficTraining.txt,uncategorized
http://localhost:8080/tienda1/publico/anadir.jsp id=3&nombre=Queso Manchego&precio=85&cantidad=28&B1=A�adir al carrito,2,benign,0,sqli,0.1992351877109712,0.800764812289029,0.0,normalTrafficTraining.txt,param_numeric
"http://localhost:8080/tienda1/publico/registro.jsp modo=registro&login=orazio&password=a24030Dor4&nombre=Kari&apellidos=Ab�s Hosta&email=lax@g-audi.nu&dni=01116944H&direccion=Avda. De Pablo Iglesias, S/N 2?G&ciudad=Castell�n de la Plana/Castell� de la Plana&cp=37740&provincia=Almer�a&ntc=6966776615880147&B1=Registrar",2,benign,0,sqli,0.20849727868499673,0.7915027213150033,0.0,normalTrafficTraining.txt,param_numeric
